Giriscapi (mm);cikiscapi;Kod;totalred;kafasayisi;calismahizi;uretimkg;elksarfsa;elksarfton
6;0.88;6x0.88;0.971663889;14;20;384.9051375;190;485.6379079
6;1.01;6x1.01;0.971663889;14;20;384.9051375;185;480.6379079
6;1.02;6x1.02;0.9711;14;20;392.5647535;185;471.2598326
6;1.03;6x1.03;0.970530556;14;20;400.2998337;185;462.153577
6;1.04;6x1.04;0.969955556;14;20;408.1103781;185;453.3087369
6;1.05;6x1.05;0.969375;14;20;415.9963867;185;444.7154012
6;1.06;6x1.06;0.968788889;14;20;423.9578595;185;436.3641241
6;1.07;6x1.07;0.968197222;14;20;431.9947965;185;428.245899
6;1.08;6x1.08;0.9676;14;20;440.1071977;185;420.3521346
6;1.09;6x1.09;0.966997222;13;19;425.8803099;177.5;416.7837673
6;1.1;6x1.1;0.966388889;13;19;433.730473;177.5;409.2403256
6;1.11;6x1.11;0.965775;13;19;441.6523271;177.5;401.8998409
6;1.12;6x1.12;0.965155556;13;19;449.6458722;177.5;394.7550972
6;1.13;6x1.13;0.964530556;13;19;457.7111083;177.5;387.7991965
6;1.14;6x1.14;0.9639;13;19;465.8480353;177.5;381.0255417
6;1.15;6x1.15;0.963263889;13;19;474.0566534;177.5;374.4278215
6;1.16;6x1.16;0.962622222;13;19;482.3369624;177.5;367.9999955
6;1.17;6x1.17;0.961975;13;19;490.6889624;177.5;361.7362802
6;1.18;6x1.18;0.961322222;13;19;499.1126534;177.5;355.6311362
6;1.19;6x1.19;0.960663889;13;19;507.6080354;177.5;349.6792557
6;1.2;6x1.2;0.96;12;18;489.0079974;170;347.6425762
6;1.21;6x1.21;0.959330556;12;18;497.1920896;170;341.9201624
6;1.22;6x1.22;0.958655556;12;18;505.4440995;170;336.3378861
6;1.23;6x1.23;0.957975;12;18;513.7640273;170;330.8912087
6;1.24;6x1.24;0.957288889;12;18;522.1518728;170;325.5757737
6;1.25;6x1.25;0.956597222;12;18;530.6076361;170;320.3873982
6;1.26;6x1.26;0.9559;12;18;539.1313171;170;315.3220646
6;1.27;6x1.27;0.955197222;12;18;547.722916;170;310.3759128
6;1.28;6x1.28;0.954488889;12;18;556.3824326;170;305.545233
6;1.29;6x1.29;0.953775;12;18;565.109867;170;300.8264586
6;1.3;6x1.3;0.953055556;12;18;573.9052192;170;296.2161596
6;1.31;6x1.31;0.952330556;12;18;582.7684891;170;291.7110365
6;1.32;6x1.32;0.9516;11;17.3;568.6891339;162.5;285.7448654
6;1.33;6x1.33;0.950863889;11;17.3;577.3382742;162.5;281.4641039
